"model","configuration","context_tokens","ubatch","device","device_model_mib","device_context_mib","device_compute_mib","host_model_mib","host_context_mib","host_compute_mib","status","evidence_file"
"gemma","k3v5-swa5v3-tail128","50000","16","Vulkan0","16519","1658","20","756","0","2","pass","gemma-k3v5-swa5v3-tail128-c50000-ub16.stdout.log"
"gemma","k3v5-swa5v3-tail128","50000","512","Vulkan0","16519","1740","538","756","0","72","pass","gemma-k3v5-swa5v3-tail128-c50000-ub512.stdout.log"
"gemma","k3v5-swa5v3-tail128","100000","16","Vulkan0","16519","2725","18","756","0","3","pass","gemma-k3v5-swa5v3-tail128-c100000-ub16.stdout.log"
"gemma","k3v5-swa5v3-tail128","100000","512","Vulkan0","16519","2807","538","756","0","121","pass","gemma-k3v5-swa5v3-tail128-c100000-ub512.stdout.log"
"gemma","k4-named-f1024-s128","50000","16","Vulkan0","16519","1728","20","756","0","2","pass","gemma-k4-named-f1024-s128-c50000-ub16.stdout.log"
"gemma","k4-named-f1024-s128","50000","512","Vulkan0","16519","1810","538","756","0","73","pass","gemma-k4-named-f1024-s128-c50000-ub512.stdout.log"
"gemma","k4-named-f1024-s128","100000","16","Vulkan0","16519","2795","20","756","0","3","pass","gemma-k4-named-f1024-s128-c100000-ub16.stdout.log"
"gemma","k4-named-f1024-s128","100000","512","Vulkan0","16519","2877","538","756","0","122","pass","gemma-k4-named-f1024-s128-c100000-ub512.stdout.log"
"gemma","k4-tail128","50000","16","Vulkan0","16519","1658","20","756","0","2","pass","gemma-k4-tail128-c50000-ub16.stdout.log"
"gemma","k4-tail128","50000","512","Vulkan0","16519","1740","538","756","0","72","pass","gemma-k4-tail128-c50000-ub512.stdout.log"
"gemma","k4-tail128","100000","16","Vulkan0","16519","2725","18","756","0","3","pass","gemma-k4-tail128-c100000-ub16.stdout.log"
"gemma","k4-tail128","100000","512","Vulkan0","16519","2807","538","756","0","121","pass","gemma-k4-tail128-c100000-ub512.stdout.log"
"gemma","q4-named-f1024-s128-f16","50000","16","Vulkan0","16519","1564","16","756","0","3","pass","gemma-q4-named-f1024-s128-f16-c50000-ub16.stdout.log"
"gemma","q4-named-f1024-s128-f16","50000","512","Vulkan0","16519","1620","533","756","0","74","pass","gemma-q4-named-f1024-s128-f16-c50000-ub512.stdout.log"
"gemma","q4-named-f1024-s128-f16","100000","16","Vulkan0","16519","2661","16","756","0","5","pass","gemma-q4-named-f1024-s128-f16-c100000-ub16.stdout.log"
"gemma","q4-named-f1024-s128-f16","100000","512","Vulkan0","16519","2717","533","756","0","123","pass","gemma-q4-named-f1024-s128-f16-c100000-ub512.stdout.log"
"gemma","q4-pos-s128-f1024-bf16","50000","16","Vulkan0","16519","1564","16","756","0","3","pass","gemma-q4-pos-s128-f1024-bf16-c50000-ub16.stdout.log"
